Listing ID,Host ID,Number of Listings Per Host,City,Latitude,Longitude,Listing Type,Price,Minimum Nights,Availability,Number of Reviews
152263,732535,3,New York City,40.80497,-73.95016,Entire home/apt,300,2,325,229
153780,739499,1,New York City,40.72587,-73.98438,Private room,175,3,364,184
154934,745069,2,New York City,40.82426,-73.9463,Private room,75,7,365,38
155296,656841,1,New York City,40.71624,-73.96272,Entire home/apt,250,14,52,40
157673,757166,1,New York City,40.68101,-73.94081,Entire home/apt,65,60,163,91
158061,758441,4,New York City,40.68669,-73.91989,Private room,165,1,365,27
158176,573065,1,New York City,40.71534,-73.95914,Entire home/apt,86,5,22,133
158955,465589,1,New York City,40.70867,-73.94284,Entire home/apt,138,2,294,436
159749,54275,3,New York City,40.68048,-73.93938,Private room,87,2,330,76
159815,54275,3,New York City,40.68048,-73.93938,Private room,81,7,346,51
160994,770831,1,New York City,40.72972,-73.97995,Entire home/apt,200,2,250,114
161996,1856604,1,New York City,40.83096,-73.94633,Entire home/apt,395,3,359,247
162493,776490,1,New York City,40.71323,-73.95745,Entire home/apt,430,5,140,39
162565,759163,1,New York City,40.74079,-74.00183,Entire home/apt,175,14,342,11
163814,627217,3,New York City,40.72636,-73.98917,Entire home/apt,99,2,365,326
164989,104450469,3,New York City,40.72303,-73.9971,Private room,141,2,89,80
166006,791287,1,New York City,40.80006,-73.96049,Entire home/apt,250,31,258,189
167013,306605,2,New York City,40.74342,-73.99483,Entire home/apt,205,10,90,3
168123,720558,1,New York City,40.66085,-73.98537,Entire home/apt,175,1,179,109
168810,747698,1,New York City,40.78569,-73.97581,Entire home/apt,175,65,359,11
169063,498638,1,New York City,40.72983,-73.9819,Entire home/apt,95,5,73,46
169306,806214,1,New York City,40.85811,-73.90675,Private room,37,4,320,136
169464,806774,1,New York City,40.70667,-73.96524,Entire home/apt,85,5,253,98
169483,807642,2,New York City,40.60452,-73.97103,Entire home/apt,110,7,1,0
170761,67778,2,New York City,40.68768,-73.97611,Private room,85,2,180,53
171562,60923,1,New York City,40.75027,-73.99666,Entire home/apt,215,14,24,19
172499,823006,1,New York City,40.77938,-73.94874,Entire home/apt,250,365,362,26
173151,826459,1,New York City,40.72901,-73.95812,Private room,78,3,90,262
173742,829652,1,New York City,40.73476,-73.98452,Entire home/apt,392,270,358,114
176135,842125,1,New York City,40.67505,-73.95969,Entire home/apt,97,3,348,33
177606,849492,1,New York City,40.74112,-73.97686,Entire home/apt,200,6,364,103
179670,21475,1,New York City,40.72019,-73.98217,Private room,130,3,365,113
179741,314941,5,New York City,40.72212,-73.99638,Entire home/apt,85,1,195,15
180717,836168,12,New York City,40.79423,-73.96622,Private room,600,7,365,40
182069,39260,1,New York City,40.79056,-73.9468,Entire home/apt,68,1,324,113
182095,872805,2,New York City,40.73631,-73.99977,Entire home/apt,169,4,90,67
